[TIME]  [JOB ID]  [EVENT TYPE]
0       1         RELEASED
0       1         STARTED
30      1         FINISHED
0       1         RELEASED
30      1         STARTED
60      1         FINISHED
0       1         RELEASED
0       1         RELEASED
60      1         STARTED
100     1         FINISHED
400     2         RELEASED
100     1         STARTED
200     1         FINISHED
400     2         STARTED
500     2         FINISHED
800     3         RELEASED
800     3         STARTED
900     3         FINISHED
1200    4         RELEASED
1200    4         STARTED
1300    4         FINISHED
1600    5         RELEASED
1600    5         STARTED
1700    5         FINISHED
2000    6         RELEASED
2000    6         STARTED
2100    6         FINISHED
2400    7         RELEASED
2400    7         STARTED
2500    7         FINISHED
2800    8         RELEASED
2800    8         STARTED
2900    8         FINISHED
3200    9         RELEASED
3200    9         STARTED
3300    9         FINISHED
3600    10        RELEASED
3600    10        STARTED
3700    10        FINISHED
4000    11        RELEASED
4000    11        STARTED
4040    11        FINISHED
101     2         RELEASED
101     2         STARTED
131     2         FINISHED
101     2         RELEASED
131     2         STARTED
161     2         FINISHED
0       1         RELEASED
200     1         STARTED
300     1         FINISHED
202     3         RELEASED
202     3         STARTED
232     3         FINISHED
202     3         RELEASED
232     3         STARTED
262     3         FINISHED
0       1         RELEASED
300     1         STARTED
400     1         FINISHED
303     4         RELEASED
303     4         STARTED
333     4         FINISHED
303     4         RELEASED
333     4         STARTED
363     4         FINISHED
404     5         RELEASED
404     5         STARTED
434     5         FINISHED
404     5         RELEASED
434     5         STARTED
464     5         FINISHED
400     2         RELEASED
500     2         STARTED
600     2         FINISHED
505     6         RELEASED
505     6         STARTED
535     6         FINISHED
505     6         RELEASED
535     6         STARTED
565     6         FINISHED
400     2         RELEASED
600     2         STARTED
700     2         FINISHED
606     7         RELEASED
606     7         STARTED
636     7         FINISHED
606     7         RELEASED
636     7         STARTED
666     7         FINISHED
400     2         RELEASED
700     2         STARTED
800     2         FINISHED
707     8         RELEASED
707     8         STARTED
737     8         FINISHED
707     8         RELEASED
737     8         STARTED
767     8         FINISHED
808     9         RELEASED
808     9         STARTED
838     9         FINISHED
808     9         RELEASED
838     9         STARTED
868     9         FINISHED
800     3         RELEASED
900     3         STARTED
1000    3         FINISHED
909     10        RELEASED
909     10        STARTED
939     10        FINISHED
909     10        RELEASED
939     10        STARTED
969     10        FINISHED
800     3         RELEASED
1000    3         STARTED
1100    3         FINISHED
1010    11        RELEASED
1010    11        STARTED
1040    11        FINISHED
1010    11        RELEASED
1040    11        STARTED
1070    11        FINISHED
800     3         RELEASED
1100    3         STARTED
1200    3         FINISHED
1111    12        RELEASED
1111    12        STARTED
1141    12        FINISHED
1111    12        RELEASED
1141    12        STARTED
1171    12        FINISHED
1212    13        RELEASED
1212    13        STARTED
1242    13        FINISHED
1212    13        RELEASED
1242    13        STARTED
1272    13        FINISHED
1200    4         RELEASED
1300    4         STARTED
1400    4         FINISHED
1313    14        RELEASED
1313    14        STARTED
1343    14        FINISHED
1313    14        RELEASED
1343    14        STARTED
1373    14        FINISHED
1200    4         RELEASED
1400    4         STARTED
1500    4         FINISHED
1414    15        RELEASED
1414    15        STARTED
1444    15        FINISHED
1414    15        RELEASED
1444    15        STARTED
1474    15        FINISHED
1200    4         RELEASED
1500    4         STARTED
1600    4         FINISHED
1515    16        RELEASED
1515    16        STARTED
1545    16        FINISHED
1515    16        RELEASED
1545    16        STARTED
1575    16        FINISHED
1616    17        RELEASED
1616    17        STARTED
1646    17        FINISHED
1616    17        RELEASED
1646    17        STARTED
1676    17        FINISHED
1600    5         RELEASED
1700    5         STARTED
1800    5         FINISHED
1717    18        RELEASED
1717    18        STARTED
1747    18        FINISHED
1717    18        RELEASED
1747    18        STARTED
1777    18        FINISHED
1600    5         RELEASED
1800    5         STARTED
1900    5         FINISHED
1818    19        RELEASED
1818    19        STARTED
1848    19        FINISHED
1818    19        RELEASED
1848    19        STARTED
1878    19        FINISHED
1600    5         RELEASED
1900    5         STARTED
2000    5         FINISHED
1919    20        RELEASED
1919    20        STARTED
1949    20        FINISHED
1919    20        RELEASED
1949    20        STARTED
1979    20        FINISHED
2020    21        RELEASED
2020    21        STARTED
2050    21        FINISHED
2020    21        RELEASED
2050    21        STARTED
2080    21        FINISHED
2000    6         RELEASED
2100    6         STARTED
2200    6         FINISHED
2121    22        RELEASED
2121    22        STARTED
2151    22        FINISHED
2121    22        RELEASED
2151    22        STARTED
2181    22        FINISHED
2000    6         RELEASED
2200    6         STARTED
2300    6         FINISHED
2222    23        RELEASED
2222    23        STARTED
2252    23        FINISHED
2222    23        RELEASED
2252    23        STARTED
2282    23        FINISHED
2000    6         RELEASED
2300    6         STARTED
2400    6         FINISHED
2323    24        RELEASED
2323    24        STARTED
2353    24        FINISHED
2323    24        RELEASED
2353    24        STARTED
2383    24        FINISHED
2424    25        RELEASED
2424    25        STARTED
2454    25        FINISHED
2424    25        RELEASED
2454    25        STARTED
2484    25        FINISHED
2400    7         RELEASED
2500    7         STARTED
2600    7         FINISHED
2525    26        RELEASED
2525    26        STARTED
2555    26        FINISHED
2525    26        RELEASED
2555    26        STARTED
2585    26        FINISHED
2400    7         RELEASED
2600    7         STARTED
2700    7         FINISHED
2626    27        RELEASED
2626    27        STARTED
2656    27        FINISHED
2626    27        RELEASED
2656    27        STARTED
2686    27        FINISHED
2400    7         RELEASED
2700    7         STARTED
2800    7         FINISHED
2727    28        RELEASED
2727    28        STARTED
2757    28        FINISHED
2727    28        RELEASED
2757    28        STARTED
2787    28        FINISHED
2828    29        RELEASED
2828    29        STARTED
2858    29        FINISHED
2828    29        RELEASED
2858    29        STARTED
2888    29        FINISHED
2800    8         RELEASED
2900    8         STARTED
3000    8         FINISHED
2929    30        RELEASED
2929    30        STARTED
2959    30        FINISHED
2929    30        RELEASED
2959    30        STARTED
2989    30        FINISHED
2800    8         RELEASED
3000    8         STARTED
3100    8         FINISHED
3030    31        RELEASED
3030    31        STARTED
3060    31        FINISHED
3030    31        RELEASED
3060    31        STARTED
3090    31        FINISHED
2800    8         RELEASED
3100    8         STARTED
3200    8         FINISHED
3131    32        RELEASED
3131    32        STARTED
3161    32        FINISHED
3131    32        RELEASED
3161    32        STARTED
3191    32        FINISHED
3232    33        RELEASED
3232    33        STARTED
3262    33        FINISHED
3232    33        RELEASED
3262    33        STARTED
3292    33        FINISHED
3200    9         RELEASED
3300    9         STARTED
3400    9         FINISHED
3333    34        RELEASED
3333    34        STARTED
3363    34        FINISHED
3333    34        RELEASED
3363    34        STARTED
3393    34        FINISHED
3200    9         RELEASED
3400    9         STARTED
3500    9         FINISHED
3434    35        RELEASED
3434    35        STARTED
3464    35        FINISHED
3434    35        RELEASED
3464    35        STARTED
3494    35        FINISHED
3200    9         RELEASED
3500    9         STARTED
3600    9         FINISHED
3535    36        RELEASED
3535    36        STARTED
3565    36        FINISHED
3535    36        RELEASED
3565    36        STARTED
3595    36        FINISHED
3636    37        RELEASED
3636    37        STARTED
3666    37        FINISHED
3636    37        RELEASED
3666    37        STARTED
3696    37        FINISHED
3600    10        RELEASED
3700    10        STARTED
3800    10        FINISHED
3737    38        RELEASED
3737    38        STARTED
3767    38        FINISHED
3737    38        RELEASED
3767    38        STARTED
3797    38        FINISHED
3600    10        RELEASED
3800    10        STARTED
3900    10        FINISHED
3838    39        RELEASED
3838    39        STARTED
3868    39        FINISHED
3838    39        RELEASED
3868    39        STARTED
3898    39        FINISHED
3600    10        RELEASED
3900    10        STARTED
4000    10        FINISHED
3939    40        RELEASED
3939    40        STARTED
3969    40        FINISHED
3939    40        RELEASED
3969    40        STARTED
3999    40        FINISHED
4040    41        RELEASED
4040    41        STARTED
4070    41        FINISHED
4040    41        RELEASED
4070    41        STARTED
4100    41        FINISHED
4000    11        RELEASED
4000    11        RELEASED
4140    11        STARTED
4240    11        FINISHED
4100    11        STARTED
4140    11        FINISHED
4141    42        RELEASED
