[ TIME ] [ JOB ID ]                [ EVENT TYPE ]
      0      J11                      RELEASED
      0      J11                       STARTED
      0      J31                      RELEASED
      0      J21                      RELEASED
      0      J41                      RELEASED
      0      J51                      RELEASED
      0      J61                      RELEASED
     22      J11                      FINISHED
     22      J21                       STARTED
     72      J31                       STARTED
     72      J21                      FINISHED
    110      J12                      RELEASED
    110      J12                       STARTED
    132      J12                      FINISHED
    144      J31                      FINISHED
    144      J41                       STARTED
    194      J41                      FINISHED
    194      J51                       STARTED
    220      J13                      RELEASED
    220      J13                       STARTED
    242      J13                      FINISHED
    266      J51                      FINISHED
    266      J61                       STARTED
    316      J61                      FINISHED
    330      J14                      RELEASED
    330      J14                       STARTED
    352      J14                      FINISHED
    440      J15                      RELEASED
    440      J15                       STARTED
    462      J15                      FINISHED
    500      J22                      RELEASED
    500      J22                       STARTED
    500      J32                      RELEASED
    500      J42                      RELEASED
    500      J62                      RELEASED
    500      J52                      RELEASED
    550      J22                      FINISHED
    550      J16                      RELEASED
    550      J16                       STARTED
    572      J16                      FINISHED
    572      J32                       STARTED
    622      J32                      FINISHED
    622      J42                       STARTED
    660      J17                      RELEASED
    660      J17                       STARTED
    682      J17                      FINISHED
    694      J42                      FINISHED
    694      J52                       STARTED
    744      J62                       STARTED
    744      J52                      FINISHED
    770      J18                      RELEASED
    770      J18                       STARTED
    792      J18                      FINISHED
    816      J62                      FINISHED
    880      J19                      RELEASED
    880      J19                       STARTED
    902      J19                      FINISHED
    990      J110                      RELEASED
    990      J110                       STARTED
   1000      J33                      RELEASED
   1000      J23                      RELEASED
   1000      J43                      RELEASED
   1000      J53                      RELEASED
   1000      J63                      RELEASED
   1012      J110                      FINISHED
   1012      J23                       STARTED
   1062      J33                       STARTED
   1062      J23                      FINISHED
   1100      J111                      RELEASED
   1100      J111                       STARTED
   1122      J111                      FINISHED
   1134      J33                      FINISHED
   1134      J43                       STARTED
   1184      J43                      FINISHED
   1184      J53                       STARTED
   1210      J112                      RELEASED
   1210      J112                       STARTED
   1232      J112                      FINISHED
   1256      J53                      FINISHED
   1256      J63                       STARTED
   1306      J63                      FINISHED
   1320      J113                      RELEASED
   1320      J113                       STARTED
   1342      J113                      FINISHED
   1430      J114                      RELEASED
   1430      J114                       STARTED
   1452      J114                      FINISHED
   1500      J24                      RELEASED
   1500      J24                       STARTED
   1500      J34                      RELEASED
   1500      J44                      RELEASED
   1500      J64                      RELEASED
   1500      J54                      RELEASED
   1540      J115                      RELEASED
   1540      J115                       STARTED
   1562      J115                      FINISHED
   1572      J24                      FINISHED
   1572      J34                       STARTED
   1622      J34                      FINISHED
   1622      J44                       STARTED
   1650      J116                      RELEASED
   1650      J116                       STARTED
   1672      J116                      FINISHED
   1694      J44                      FINISHED
   1694      J54                       STARTED
   1744      J64                       STARTED
   1744      J54                      FINISHED
   1760      J117                      RELEASED
   1760      J117                       STARTED
   1782      J117                      FINISHED
   1816      J64                      FINISHED
   1870      J118                      RELEASED
   1870      J118                       STARTED
   1892      J118                      FINISHED
   1980      J119                      RELEASED
   1980      J119                       STARTED
   2000      J35                      RELEASED
   2000      J25                      RELEASED
   2000      J45                      RELEASED
   2000      J55                      RELEASED
   2000      J65                      RELEASED
   2002      J119                      FINISHED
   2002      J25                       STARTED
   2052      J25                      FINISHED
   2052      J35                       STARTED
   2090      J120                      RELEASED
   2090      J120                       STARTED
   2112      J120                      FINISHED
   2124      J35                      FINISHED
   2124      J45                       STARTED
   2174      J45                      FINISHED
   2174      J55                       STARTED
   2200      J121                      RELEASED
