ECU0: LK, ECU1: CC
0, ECU0: LK, 1
0, ECU1: CC, 1
10, ECU0: LK, 0
10, ECU1: CC, 0
20, ECU0: LK, 1
20, ECU1: CC, 1
30, ECU0: LK, 0
30, ECU1: CC, 0
40, ECU0: LK, 1
40, ECU1: CC, 1
50, ECU0: LK, 0
50, ECU1: CC, 0
60, ECU0: LK, 1
60, ECU1: CC, 1
70, ECU0: LK, 0
70, ECU1: CC, 0
80, ECU0: LK, 1
80, ECU1: CC, 1
90, ECU0: LK, 0
90, ECU1: CC, 0
100, ECU0: LK, 1
100, ECU1: CC, 1
110, ECU0: LK, 0
110, ECU1: CC, 0
120, ECU0: LK, 1
120, ECU1: CC, 1
130, ECU0: LK, 0
130, ECU1: CC, 0
140, ECU0: LK, 1
140, ECU1: CC, 1
150, ECU0: LK, 0
150, ECU1: CC, 0
160, ECU0: LK, 1
160, ECU1: CC, 1
170, ECU0: LK, 0
170, ECU1: CC, 0
180, ECU0: LK, 1
180, ECU1: CC, 1
190, ECU0: LK, 0
190, ECU1: CC, 0
200, ECU0: LK, 1
200, ECU1: CC, 1
210, ECU0: LK, 0
210, ECU1: CC, 0
220, ECU0: LK, 1
220, ECU1: CC, 1
230, ECU0: LK, 0
230, ECU1: CC, 0
240, ECU0: LK, 1
240, ECU1: CC, 1
250, ECU0: LK, 0
250, ECU1: CC, 0
260, ECU0: LK, 1
260, ECU1: CC, 1
270, ECU0: LK, 0
270, ECU1: CC, 0
280, ECU0: LK, 1
280, ECU1: CC, 1
290, ECU0: LK, 0
290, ECU1: CC, 0
300, ECU0: LK, 1
300, ECU1: CC, 1
310, ECU0: LK, 0
310, ECU1: CC, 0
320, ECU0: LK, 1
320, ECU1: CC, 1
330, ECU0: LK, 0
330, ECU1: CC, 0
340, ECU0: LK, 1
340, ECU1: CC, 1
350, ECU0: LK, 0
350, ECU1: CC, 0
360, ECU0: LK, 1
360, ECU1: CC, 1
370, ECU0: LK, 0
370, ECU1: CC, 0
380, ECU0: LK, 1
380, ECU1: CC, 1
390, ECU0: LK, 0
390, ECU1: CC, 0
400, ECU0: LK, 1
400, ECU1: CC, 1
410, ECU0: LK, 0
410, ECU1: CC, 0
420, ECU0: LK, 1
420, ECU1: CC, 1
430, ECU0: LK, 0
430, ECU1: CC, 0
440, ECU0: LK, 1
440, ECU1: CC, 1
450, ECU0: LK, 0
450, ECU1: CC, 0
460, ECU0: LK, 1
460, ECU1: CC, 1
470, ECU0: LK, 0
470, ECU1: CC, 0
480, ECU0: LK, 1
480, ECU1: CC, 1
490, ECU0: LK, 0
490, ECU1: CC, 0
500, ECU0: LK, 1
500, ECU1: CC, 1
510, ECU0: LK, 0
510, ECU1: CC, 0
520, ECU0: LK, 1
520, ECU1: CC, 1
530, ECU0: LK, 0
530, ECU1: CC, 0
540, ECU0: LK, 1
540, ECU1: CC, 1
550, ECU0: LK, 0
550, ECU1: CC, 0
560, ECU0: LK, 1
560, ECU1: CC, 1
570, ECU0: LK, 0
570, ECU1: CC, 0
580, ECU0: LK, 1
580, ECU1: CC, 1
590, ECU0: LK, 0
590, ECU1: CC, 0
600, ECU0: LK, 1
600, ECU1: CC, 1
610, ECU0: LK, 0
610, ECU1: CC, 0
620, ECU0: LK, 1
620, ECU1: CC, 1
630, ECU0: LK, 0
630, ECU1: CC, 0
640, ECU0: LK, 1
640, ECU1: CC, 1
650, ECU0: LK, 0
650, ECU1: CC, 0
660, ECU0: LK, 1
660, ECU1: CC, 1
670, ECU0: LK, 0
670, ECU1: CC, 0
680, ECU0: LK, 1
680, ECU1: CC, 1
690, ECU0: LK, 0
690, ECU1: CC, 0
700, ECU0: LK, 1
700, ECU1: CC, 1
710, ECU0: LK, 0
710, ECU1: CC, 0
720, ECU0: LK, 1
720, ECU1: CC, 1
730, ECU0: LK, 0
730, ECU1: CC, 0
740, ECU0: LK, 1
740, ECU1: CC, 1
750, ECU0: LK, 0
750, ECU1: CC, 0
760, ECU0: LK, 1
760, ECU1: CC, 1
770, ECU0: LK, 0
770, ECU1: CC, 0
780, ECU0: LK, 1
780, ECU1: CC, 1
790, ECU0: LK, 0
790, ECU1: CC, 0
800, ECU0: LK, 1
800, ECU1: CC, 1
810, ECU0: LK, 0
810, ECU1: CC, 0
820, ECU0: LK, 1
820, ECU1: CC, 1
830, ECU0: LK, 0
830, ECU1: CC, 0
840, ECU0: LK, 1
840, ECU1: CC, 1
850, ECU0: LK, 0
850, ECU1: CC, 0
860, ECU0: LK, 1
860, ECU1: CC, 1
870, ECU0: LK, 0
870, ECU1: CC, 0
880, ECU0: LK, 1
880, ECU1: CC, 1
890, ECU0: LK, 0
890, ECU1: CC, 0
900, ECU0: LK, 1
900, ECU1: CC, 1
910, ECU0: LK, 0
910, ECU1: CC, 0
920, ECU0: LK, 1
920, ECU1: CC, 1
930, ECU0: LK, 0
930, ECU1: CC, 0
940, ECU0: LK, 1
940, ECU1: CC, 1
950, ECU0: LK, 0
950, ECU1: CC, 0
960, ECU0: LK, 1
960, ECU1: CC, 1
970, ECU0: LK, 0
970, ECU1: CC, 0
980, ECU0: LK, 1
980, ECU1: CC, 1
990, ECU0: LK, 0
990, ECU1: CC, 0
1000, ECU0: LK, 1
1000, ECU1: CC, 1
1010, ECU0: LK, 0
1010, ECU1: CC, 0
1020, ECU0: LK, 1
1020, ECU1: CC, 1
1030, ECU0: LK, 0
1030, ECU1: CC, 0
1040, ECU0: LK, 1
1040, ECU1: CC, 1
1050, ECU0: LK, 0
1050, ECU1: CC, 0
1060, ECU0: LK, 1
1060, ECU1: CC, 1
1070, ECU0: LK, 0
1070, ECU1: CC, 0
